"Index Name","Date","Open","High","Low","Close"
"NIFTY 100","28 Jun 2024","25075.65","25165.8","24981.75","25007.25"
"NIFTY 100","27 Jun 2024","24878.45","25070.25","24819.6","25026.55"
"NIFTY 100","26 Jun 2024","24754.65","24888.3","24689.95","24867.15"
"NIFTY 100","25 Jun 2024","24674.1","24786.7","24626","24757.80"
"NIFTY 100","24 Jun 2024","24443.75","24635.85","24382.15","24621.60"
"NIFTY 100","21 Jun 2024","24743.55","24746.4","24480.3","24555.50"
"NIFTY 100","20 Jun 2024","24668.65","24695.5","24532.85","24649.85"
"NIFTY 100","19 Jun 2024","24762.5","24763.6","24499.3","24599.90"
"NIFTY 100","18 Jun 2024","24689.75","24700.6","24612.95","24683.55"
"NIFTY 100","14 Jun 2024","24529","24592.9","24411.15","24571.65"
"NIFTY 100","13 Jun 2024","24527.05","24527.15","24376.75","24449.50"
"NIFTY 100","12 Jun 2024","24358.85","24445.8","24313.4","24348.80"
"NIFTY 100","11 Jun 2024","24306.4","24403.65","24222.35","24271.05"
"NIFTY 100","10 Jun 2024","24328.95","24417.8","24229.15","24271.15"
"NIFTY 100","07 Jun 2024","23812.95","24291.35","23758.1","24266.05"
"NIFTY 100","06 Jun 2024","23754.95","23917.05","23627.45","23806.95"
"NIFTY 100","05 Jun 2024","23027.7","23597.2","22563.65","23550.75"
"NIFTY 100","04 Jun 2024","24268.05","24268.05","22003.75","22739.60"
"NIFTY 100","03 Jun 2024","24444.7","24445.2","24133.15","24344.20"
"NIFTY 100","31 May 2024","23561.85","23620.55","23439.7","23518.05"
"NIFTY 100","30 May 2024","23609.9","23696.2","23393.3","23466.30"
"NIFTY 100","29 May 2024","23744.95","23816.35","23670.95","23687.70"
"NIFTY 100","28 May 2024","24011.45","24028.15","23840.05","23873.90"
"NIFTY 100","27 May 2024","24075","24106.85","23903.3","23959.85"
"NIFTY 100","24 May 2024","23962.2","24060.75","23926.4","23980.10"
"NIFTY 100","23 May 2024","23662.9","24004.85","23632.45","23982.35"
"NIFTY 100","22 May 2024","23634.5","23663.4","23498.75","23633.90"
"NIFTY 100","21 May 2024","23450.95","23625.9","23449.75","23569.90"
"NIFTY 100","18 May 2024","23505.25","23519.7","23472.5","23508.60"
"NIFTY 100","17 May 2024","23368.35","23466","23307.25","23444.30"
"NIFTY 100","16 May 2024","23258.8","23370.85","22997.5","23343.55"
"NIFTY 100","15 May 2024","23177.8","23224.85","23078.05","23133.85"
"NIFTY 100","14 May 2024","22979.4","23162.7","22942.25","23118.20"
"NIFTY 100","13 May 2024","22904.4","22988.35","22630.85","22956.35"
"NIFTY 100","10 May 2024","22844.25","22960.3","22784.65","22909.10"
"NIFTY 100","09 May 2024","23114.6","23190.4","22763.3","22790.20"
"NIFTY 100","08 May 2024","23040.8","23236.65","22982.85","23166.00"
"NIFTY 100","07 May 2024","23350.5","23355.8","23020.45","23103.75"
"NIFTY 100","06 May 2024","23458.6","23466","23256.4","23297.75"
"NIFTY 100","03 May 2024","23668.5","23693.5","23234.75","23382.75"
"NIFTY 100","02 May 2024","23422.9","23593.2","23421.9","23541.30"
"NIFTY 100","30 Apr 2024","23499.75","23618.7","23402.75","23436.50"
"NIFTY 100","29 Apr 2024","23305.7","23457.9","23250.9","23443.80"
"NIFTY 100","26 Apr 2024","23389.2","23392.8","23200.7","23232.10"
"NIFTY 100","25 Apr 2024","23099.45","23372.9","23092.35","23329.80"
"NIFTY 100","24 Apr 2024","23177","23230.65","23148.3","23167.80"
"NIFTY 100","23 Apr 2024","23200.45","23200.7","23098.95","23116.00"
"NIFTY 100","22 Apr 2024","23067.3","23115.65","22934.35","23078.90"
"NIFTY 100","19 Apr 2024","22591.1","22896.5","22469.05","22859.80"
"NIFTY 100","18 Apr 2024","22964.05","23080.5","22702.65","22740.20"
"NIFTY 100","16 Apr 2024","22834.1","22944.65","22798.2","22870.30"
"NIFTY 100","15 Apr 2024","23026.7","23139.3","22908.6","22967.10"
"NIFTY 100","12 Apr 2024","23412.85","23466.8","23244.4","23254.90"
"NIFTY 100","10 Apr 2024","23431.95","23494.80","23391.80","23474.70"
"NIFTY 100","09 Apr 2024","23480.10","23480.40","23304.50","23348.90"
"NIFTY 100","08 Apr 2024","23324.90","23422.30","23289.25","23380.30"
"NIFTY 100","05 Apr 2024","23185.30","23262.90","23128.90","23240.55"
"NIFTY 100","04 Apr 2024","23304.20","23327.95","23034.00","23206.00"
"NIFTY 100","03 Apr 2024","23077.70","23212.55","23038.20","23136.60"
"NIFTY 100","02 Apr 2024","23124.30","23162.55","23056.30","23138.55"
"NIFTY 100","01 Apr 2024","23065.15","23161.75","23058.65","23107.15"
"NIFTY 100","28 Mar 2024","22747.55","23090.20","22747.55","22920.70"
"NIFTY 100","27 Mar 2024","22661.70","22793.15","22661.70","22698.50"
"NIFTY 100","26 Mar 2024","22494.15","22650.40","22493.70","22601.35"
"NIFTY 100","22 Mar 2024","22476.70","22709.35","22414.50","22633.80"
"NIFTY 100","21 Mar 2024","22472.60","22583.05","22445.15","22538.90"
"NIFTY 100","20 Mar 2024","22310.30","22383.10","22140.20","22307.75"
"NIFTY 100","19 Mar 2024","22449.20","22471.90","22254.55","22274.65"
"NIFTY 100","18 Mar 2024","22462.30","22607.50","22393.70","22541.15"
"NIFTY 100","15 Mar 2024","22548.55","22613.90","22367.65","22494.70"
"NIFTY 100","14 Mar 2024","22371.35","22664.20","22296.65","22623.70"
"NIFTY 100","13 Mar 2024","22928.15","22944.05","22294.45","22399.00"
"NIFTY 100","12 Mar 2024","22901.80","22990.05","22784.90","22840.90"
"NIFTY 100","11 Mar 2024","23066.95","23073.55","22867.45","22895.45"
