"Index Name","Date","Open","High","Low","Close"
"NIFTY 500","28 Jun 2024","22592.25","22673.65","22537.7","22559.70"
"NIFTY 500","27 Jun 2024","22459.9","22571.65","22395.9","22537.40"
"NIFTY 500","26 Jun 2024","22379.5","22464.85","22309.5","22436.80"
"NIFTY 500","25 Jun 2024","22349.75","22391.75","22287.1","22370.65"
"NIFTY 500","24 Jun 2024","22150.65","22309.1","22073.65","22289.10"
"NIFTY 500","21 Jun 2024","22392.6","22393.3","22186.2","22236.20"
"NIFTY 500","20 Jun 2024","22293.55","22333.6","22182.2","22305.10"
"NIFTY 500","19 Jun 2024","22406.3","22406.3","22127.25","22224.90"
"NIFTY 500","18 Jun 2024","22323.55","22338.15","22253.35","22329.60"
"NIFTY 500","14 Jun 2024","22148.25","22229.4","22054.15","22214.30"
"NIFTY 500","13 Jun 2024","22120.75","22120.8","21992.15","22074.30"
"NIFTY 500","12 Jun 2024","21935.2","22023.9","21904.7","21960.95"
"NIFTY 500","11 Jun 2024","21856.35","21961.45","21782.35","21852.00"
"NIFTY 500","10 Jun 2024","21844.3","21930.5","21758.3","21808.25"
"NIFTY 500","07 Jun 2024","21390.2","21781.35","21333.5","21764.15"
"NIFTY 500","06 Jun 2024","21253.7","21462.8","21193.2","21365.00"
"NIFTY 500","05 Jun 2024","20570.75","21092.15","20116.6","21054.40"
"NIFTY 500","04 Jun 2024","21753.35","21753.35","19624.25","20323.85"
"NIFTY 500","03 Jun 2024","21926.6","21926.6","21629.3","21797.40"
"NIFTY 500","31 May 2024","21129.35","21177.25","21003","21103.30"
"NIFTY 500","30 May 2024","21201.8","21262.85","20983.95","21038.55"
"NIFTY 500","29 May 2024","21288.35","21356.15","21243.2","21256.30"
"NIFTY 500","28 May 2024","21542.5","21558.15","21345.35","21387.35"
"NIFTY 500","27 May 2024","21573.8","21613.6","21439.15","21493.00"
"NIFTY 500","24 May 2024","21483","21567.45","21444.95","21483.75"
"NIFTY 500","23 May 2024","21280.05","21505.25","21249.15","21489.55"
"NIFTY 500","22 May 2024","21255.2","21261.75","21103.2","21237.75"
"NIFTY 500","21 May 2024","21114.65","21224.7","21068.85","21187.65"
"NIFTY 500","18 May 2024","21131.45","21156.45","21115.8","21144.45"
"NIFTY 500","17 May 2024","20967.4","21078.65","20934.45","21064.55"
"NIFTY 500","16 May 2024","20846.85","20950.55","20667.8","20929.05"
"NIFTY 500","15 May 2024","20744.5","20811.25","20681.9","20741.85"
"NIFTY 500","14 May 2024","20544.35","20709.75","20508","20683.80"
"NIFTY 500","13 May 2024","20471.65","20540.25","20184.1","20511.00"
"NIFTY 500","10 May 2024","20398","20482.05","20299.1","20469.10"
"NIFTY 500","09 May 2024","20681.1","20736.25","20318.9","20344.80"
"NIFTY 500","08 May 2024","20586.8","20768.75","20516.25","20704.90"
"NIFTY 500","07 May 2024","20911.35","20914.9","20548.8","20636.05"
"NIFTY 500","06 May 2024","21044.1","21048.95","20805.05","20864.95"
"NIFTY 500","03 May 2024","21193.45","21208.7","20830.65","20959.55"
"NIFTY 500","02 May 2024","21010.45","21126.1","21009.35","21083.60"
"NIFTY 500","30 Apr 2024","21052.35","21146.5","20971.85","20997.20"
"NIFTY 500","29 Apr 2024","20911.1","21002.1","20847.85","20992.20"
"NIFTY 500","26 Apr 2024","20926.4","20941.1","20814.5","20839.35"
